Luh kel.,如果说分手是苦痛的起点  那在终点之前 我愿意再爱一遍,2021-04-25
Luh kel.,大概是19年12月喜欢你的 因为你给的一个橘子 我剥开之后分了你一半 于是 因为喜欢你 我一个走读生每天早上偷偷跟在你身后提前半个小时去食堂吃早饭 中午一分钟冲到饭坐在离你最近的地方吃 练就了一副八分钟吃完饭的本领 然后匆匆忙忙扔掉餐盘偷偷跟着你去超市 晚上一打铃就第一个冲出教室 精打细算每分每秒与你相遇 也许是每次见面我假装镇定演得太好了吧 你好像不知道我喜欢你 又好像知道 昨天得知你和别人在一起了 好难过啊 也许 是因为我们根本就不在一条轨迹上吧,2021-04-25
哥中之哥,最近真的感觉歌荒了，只能听青春的声音。,2021-04-25
结冰zZ,大概是19年12月喜欢你的 因为你给的一个橘子 我剥开之后分了你一半 于是 因为喜欢你 我一个走读生每天早上偷偷跟在你身后提前半个小时去食堂吃早饭 中午一分钟冲到饭坐在离你最近的地方吃 练就了一副八分钟吃完饭的本领 然后匆匆忙忙扔掉餐盘偷偷跟着你去超市 晚上一打铃就第一个冲出教室 精打细算每分每秒与你相遇 也许是每次见面我假装镇定演得太好了吧 你好像不知道我喜欢你 又好像知道 昨天得知你和别人在一起了 好难过啊 也许 是因为我们根本就不在一条轨迹上吧,2021-04-25
L .,后会无期，DMJ0925，就从今天起，以后都不见了，也不联系了，以前说的不见不联系我们都没做到，这次是真真真真真的。请好好爱你的老公，小情人，家人，爱自己，你的v.q我都删了，手机号我拉黑了。你是我的遗憾，消耗了十来年的时光上天始终没有给我机会，我决定慢慢慢慢忘记你，让我归于人海，找到自己真正的归属。曾经很喜欢你很爱你，不过到此为止了，余生不见，各自安好..,2021-04-25
送给你晚安的歌,真的羡慕那些谈恋爱，走到最后结婚的结婚。,2021-04-25
lvan,我再也不是15 16岁了，我已经32岁了，我有点难过,2021-04-25
Hoikwan🌈,不出意外的话，这辈子不会再见了,2021-04-25
Weirdo,遇见爱情的时候先问问自己配吗,2021-04-25
朱丽叶男朋友,周董的歌旋律真是无敌了,2021-04-25
意难平,祝你也祝我 前程似锦终遇良人,2021-04-25
尼卡卡,因为周杰伦的歌，我见证了爱情的美好与不美好,2021-04-25
北枫zz,"大自然的奇妙物语，弹奏着天边的云彩
响彻着空灵且高韵的吉他声，响彻回荡在人们的心灵，久久徘徊在思绪里
你会发着呆，所凝望着夕阳的朝垂，静静的闭上眼所感受这一刻的舒缓，忘记那些不愉快的事情。幻想着有人代替他填补内心深处的残缺，鼻子猛然一酸，缓缓的流下晶莹的眼泪，心里的眼泪早已迷晕的视线，逐渐被黄昏落暮所映彻",2021-04-25
鱼子,不出意外的话，这辈子不会再见了,2021-04-25
才不是大笨钟,这个词太应景了：怎么隐藏我的悲伤 失去你的地方[em]e400867[/em],2021-04-24
予,"大自然的奇妙物语，弹奏着天边的云彩
响彻着空灵且高韵的吉他声，响彻回荡在人们的心灵，久久徘徊在思绪里
你会发着呆，所凝望着夕阳的朝垂，静静的闭上眼所感受这一刻的舒缓，忘记那些不愉快的事情。幻想着有人代替他填补内心深处的残缺，鼻子猛然一酸，缓缓的流下晶莹的眼泪，心里的眼泪早已迷晕的视线，逐渐被黄昏落暮所映彻",2021-04-24
不羡,我会慢慢忘记你 忘记我们的感情,2021-04-24
黑眼圈加重,不出意外的话，这辈子不会再见了,2021-04-24
2021,可太喜欢这首歌了。,2021-04-24
小鱼同学,找不到周杰伦了,2021-04-24
一夫,小时候其实不懂听歌，只知道好听，周董的歌自然好听，听了很多年；长大了些开始关注歌词，经常誊写各种歌词在日记本里，表达心情，觉得歌词才是一首歌曲的灵魂。不听周董已经很久，突然再听到这首歌，各种滋味涌上心头，词和曲作为一个整体打动着我。,2021-04-24
Waity,"《寻找周杰伦》原版文件丢失了
下张专辑就叫《依然寻找周杰伦吧》",2021-04-24
Plan A,如果说分手是苦痛的起点  那在终点之前 我愿意再爱一遍,2021-04-24
可乐,2007-2021 再见青春🥺[em]e400867[/em],2021-04-24
往事似烟、,"爱是一颗种子，在眼睛里萌芽，在心里扎根。

用深情浇灌，以血肉做土壤，慢慢长大。

一寸爱一分苦涩，一寸爱一分甜蜜，直到眼睛里都是你的影子。

当一个人真正走入过你的世界，又怎么可能将她彻底忘记。可是不能忘记又能怎么样[em]e400832[/em]ཽ[em]e400832[/em]ཽ",2021-04-24
苏爷爷的鱼,发着呆，怎么可能忘记你，明明是一直在想你，闭上眼是为了不让眼泪流下来罢了。,2021-04-27
