,Unnamed: 0,storeNumber,countryCode,ownershipTypeCode,schedule,slug,latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode,postalCode,currentTimeOffset,windowsTimeZoneId,olsonTimeZoneId
16460,16460,8025-150267,JP,CO,,expasa-taga-service-area-down-lane-66-11-binmanji-taga-cho-25-522-0342-jp,35.218893,136.285237,66-11 Binmanji,,,Taga-cho,25,522-0342,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16461,16461,1868-143565,JP,CO,,taga-service-area-up-lane-62-2-binmanji-taga-cho-25-522-0342-jp,35.218118,136.283394,62-2 Binmanji,,,Taga-cho,25,522-0342,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16462,16462,65839-300113,JP,CO,,viva-city-hikone-1330-2-takamiyacho-hikone-25-522-0201-jp,35.243607,136.252751,1330-2 Takamiyacho,,,Hikone,25,522-0201,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16463,16463,31179-106524,JP,CO,,cainz-mall-hikone-2-1-1-banba-hikone-25-522-0069-jp,35.280694,136.244029,2-1-1 Banba,,,Hikone,25,522-0069,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16464,16464,49481-261606,JP,CO,,higashiomi-yokaichi-7-40-yokaichi-kaminocho-higashiomi-25-573-0022-jp,35.113244,136.20356,7-40 Yokaichi-kaminocho,,,Higashiomi,25,573-0022,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16465,16465,31576-111635,JP,CO,,oumihachiman-2-3-11-takakaicho-kita-oumihachiman-25-523-0896-jp,35.127366,136.105653,2-3-11 Takakaicho-kita,,,Oumihachiman,25,523-0896,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16466,16466,24942-239411,JP,CO,,shiga-nagahama-265-kawasakicho-nagahama-25-526-0846-jp,35.393157,136.282439,265 Kawasakicho,,,Nagahama,25,526-0846,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16467,16467,19713-197785,JP,CO,,mitsui-outlet-park-shiga-ryuo-1178-694-sunayama-kuzushi-ryuo-cho-25-520-2551-jp,35.062132,136.100993,1178-694 Sunayama Kuzushi,,,Ryuo-cho,25,520-2551,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16468,16468,28997-252025,JP,CO,,koka-minakuchi-6005-1-minakuchi-minakuchicho-koka-25-528-0005-jp,34.966568,136.164301,6005-1 Minakuchi Minakuchicho,,,Koka,25,528-0005,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16469,16469,21199-209864,JP,CO,,aeon-mall-toin-510-1-nagafuke-toin-cho-24-511-0255-jp,35.063103,136.579278,510-1 Nagafuke,,,Toin-cho,24,511-0255,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16470,16470,31662-117265,JP,CO,,aeon-mall-ogaki-2-100-sotono-ogaki-21-503-0933-jp,35.336624,136.61384,2-100 Sotono,,,Ogaki,21,503-0933,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16471,16471,31220-106786,JP,CO,,kuwana-sanshi-park-111-1-onakasinden-kuwana-24-511-0947-jp,35.080397,136.606584,111-1 Onakasinden,,,Kuwana,24,511-0947,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16472,16472,61348-293718,JP,CO,,aqua-walk-ogaki-6-80-21-hayashimachi-ogaki-21-503-8571-jp,35.369882,136.6173,6-80-21 Hayashimachi,,,Ogaki,21,503-8571,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16473,16473,49619-270172,JP,CO,,kusatsu-komaizawa-18-komaizawacho-kusatsu-25-525-0014-jp,35.039673,135.962171,18 Komaizawacho,,,Kusatsu,25,525-0014,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16474,16474,29664-254824,JP,CO,,expasa-gozaisho-service-area-up-lan-1569-2-yamanoissikicho-yokkaichi-24-512-0906-jp,35.01866,136.590706,1569-2 Yamanoissikicho,,,Yokkaichi,24,512-0906,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
16475,16475,8017-150266,JP,CO,,expasa-gozaisho-service-area-down-l-1491-2-yamanoissikicho-yokkaichi-24-512-0906-jp,35.019133,136.593989,1491-2 Yamanoissikicho,,,Yokkaichi,24,512-0906,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo
